Bank information,,,,,,,Mandatory criteria,,,,,,,,,,,,,Additional capabilities (non-mandatory for certification),,,,,,,,,,,,,,,,,,,,,,,,,
BIC of the mother organisation,BIC8 (branch BIC),Name of the mother organisation,Name of BIC8 (Branch Name),Country,Country code,Certification,SCORE,Credit Transfers (MT101),Payments pain.001 ISO 20022 (advanced certification only),Cash Reporting (MT940),MT 942 (advanced certification only),Cash Management camt.053 ISO 20022 (advanced certification only),File Act (RT or S&F),Testing,Onboarding guide,Support,Staff trained,Documentation,Contact email,gpi,,Treasury (MT),,Cash Management (MT),,Trade MT798,,,,Trade FA,Payments (ISO20022),,Cash Management (ISO20022),,,eStatements (PDF),Bank Account Management (ISO20022),CGI-MP guidelines,3SKey,,MyStandards,,TSU / BPO,Staff certified,Hyperlink to bank's webpage
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Taiwan,TW,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,United States,US,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Vietnam,VN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
ESSESESS,ESSEGB2L,Skandinaviska Enskilda Banken AB,SKANDINAVISKA ENSKILDA BANKEN,United Kingdom,GB,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,http://sebgroup.com/large-corporates-and-institutions/our-services/transaction-services/for-corporations/cash-management/integration-services
ESSESESS,ESSESESS,Skandinaviska Enskilda Banken AB,SKANDINAVISKA ENSKILDA BANKEN AB,Sweden,SE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,no,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,http://sebgroup.com/large-corporates-and-institutions/our-services/transaction-services/for-corporations/cash-management/integration-services
ESSESESS,ESSESESS,Skandinaviska Enskilda Banken AB,SEB,Norway,NO,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,http://sebgroup.com/large-corporates-and-institutions/our-services/transaction-services/for-corporations/cash-management/integration-services
ESSESESS,ESSESESS,Skandinaviska Enskilda Banken AB,SEB,Denmark,DK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,http://sebgroup.com/large-corporates-and-institutions/our-services/transaction-services/for-corporations/cash-management/integration-services
ESSESESS,ESSESESS,Skandinaviska Enskilda Banken AB,SEB,Finland,FI,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,http://sebgroup.com/large-corporates-and-institutions/our-services/transaction-services/for-corporations/cash-management/integration-services
ESSESESS,ESSESESS,Skandinaviska Enskilda Banken AB,SEB,Poland,PL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,http://sebgroup.com/large-corporates-and-institutions/our-services/transaction-services/for-corporations/cash-management/integration-services
ESSESESS,ESSESESS,Skandinaviska Enskilda Banken AB,SEB,Latvia,LV,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,http://sebgroup.com/large-corporates-and-institutions/our-services/transaction-services/for-corporations/cash-management/integration-services
ESSESESS,ESSESESS,Skandinaviska Enskilda Banken AB,SEB,Lithuania,LT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,http://sebgroup.com/large-corporates-and-institutions/our-services/transaction-services/for-corporations/cash-management/integration-services
ESSESESS,ESSESESS,Skandinaviska Enskilda Banken AB,SEB,Estonia,EE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,http://sebgroup.com/large-corporates-and-institutions/our-services/transaction-services/for-corporations/cash-management/integration-services
EVERCNBJ,EVERCNBJ,EVERBRIGHT BANK OF CHINA,EVERBRIGHT BANK OF CHINA,China,CN,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,dingxin@cebbank.com,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.cebbank.com/site/gsyw/xjgl/cpgl/SWIFTyqzl/ywjs23/index.html
FBNINGLA,FBNINGLA,FIRST BANK OF NIGERIA LIMITED,FIRST BANK OF NIGERIA LIMITED,Nigeria,NG,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,ITPaymentApplicationSupport@firstbanknigeria.com,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,https://www.firstbanknigeria.com/business-banking/swift-for-corporate/
FCBKTWTP,FCBKTWTP,FIRST Commercial Bank,FIRST Commercial Bank,Taiwan,TW,not certified,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,i091a@firstbank.com.tw,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
FIRNZAJJ,FIRNZAJJ,FIRSTRAND BANK LIMITED,FIRSTRAND BANK LIMITED,South Africa,ZA,entry,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,Luyanda.Mhlauli@rmb.co.za,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,
FTBCUS3C,FTBCUS3C,THE FIFTH THIRD BANK,THE FIFTH THIRD BANK,United States,US,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,Pam.Hellmann@53.com,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,https://www.53.com/commercial-banking/global-treasury-solutions.html
GABAARBA,GABAARBA,BANCO DE GALICIA Y BUENOS AIRES,BANCO DE GALICIA Y BUENOS AIRES,Argentina,AR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,gabriel.guerra@bancogalicia.com.ar,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,http://www.bancogalicia.com/swift
GDBKCN22,GDBKCN22,"CHINA GUANGFA BANK CO., LTD","CHINA GUANGFA BANK CO., LTD",China,CN,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yinyu@cgbchina.com.cn,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
GIBAATWG,RNCBROBU,ERSTE GROUP BANK AG,BANCA COMERCIALA ROMANA,Romania,RO,entry,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,https://www.bcr.ro/en/individuals
GIBAATWG,GIBACZPX,ERSTE GROUP BANK AG,CESKA SPORITELNA A.S.,Czech Republic,CZ,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,http://www.csas.cz/banka/nav/companies-and-institutions-d00007794
GIBAATWG,ESBCHR22,ERSTE GROUP BANK AG,ERSTE & STEIERMARKISCHE BANK D.D.,Croatia,HR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,https://www.erstebank.hr/hr/
GIBAATWG,GIBARS22,ERSTE GROUP BANK AG,ERSTE BANK A.D,Republic of Serbia,RS,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,http://www.erstebank.rs/en/Homepage
GIBAATWG,GIBAATWW,ERSTE GROUP BANK AG,ERSTE BANK DER OESTERREICHISCHEN,Austria,AT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,https://www.erstegroup.com/en/corporates/liquidity/payment-transactions
GIBAATWG,GIBAHUHB,ERSTE GROUP BANK AG,ERSTE BANK HUNGARY ZRT,Hungary,HU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,http://www.erstebank.hu/hu/Fooldal
GIBAATWG,GIBASKBX,ERSTE GROUP BANK AG,SLOVENSKA SPORITELNA A.S.,Slovakia,SK,entry,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,https://www.slsp.sk/sk/ludia
GKCCBEBB,GKCCBEBB,BELFIUS BANK SA/NV,BELFIUS BANK SA/NV,Belgium,BE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,https://www.belfius.be/common/nl/iwscommon/home.html#page=%2Fcorporate%2FNL%2FOnzeProductenEnDiensten%2FITLine%2FTransacties%2FBelfiusViaSWIFT%2Findex.aspx
GTBINGLA,GTBINGLA,GUARANTY TRUST BANK PLC,GUARANTY TRUST BANK PLC,Nigeria,NG,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,Charles Agbro(charles.agbro@gtbank.com),yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,
HANDSESS,HANDSESS,Svenska Handelsbanken AB (publ),Svenska Handelsbanken AB (publ),Sweden,SE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,josi01@handelsbanken.se,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,
ICBKCNBJ,ICBKCNBJ,Industrial and Commercial Bank of China,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,China,CN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.icbc.com.cn/ICBC/%e5%85%ac%e5%8f%b8%e4%b8%9a%e5%8a%a1/%e4%bc%81%e4%b8%9a%e6%9c%8d%e5%8a%a1/%e7%bb%93%e7%ae%97%e6%9c%8d%e5%8a%a1/%e5%85%a8%e7%90%83%e7%8e%b0%e9%87%91%e7%ae%a1%e7%90%86/%e9%87%8d%e7%82%b9%e4%ba%a7%e5%93%81/%e4%bc%81%e4%b8%9a%e5%ae%a2%e6%88%b7SWIFT%e8%81%94%e6%8e%a5%e8%a7%a3%e5%86%b3%e6%96%b9%e6%a1%88/%e4%bc%81%e4%b8%9a%e5%ae%a2%e6%88%b7swift%e8%81%94%e6%8e%a5%e8%a7%a3%e5%86%b3%e6%96%b9%e6%a1%88.htm
INGBNL2A,BBRUPTPL,ING BANK N.V.,"ING B NV/SA, SUCURSAL EM PORTUGAL LISBON BRANCH",Portugal,PT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,INGBRUMM,ING BANK N.V.,ING BANK (EURASIA) ZAO,Russia,RU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,INGBTRIS,ING BANK N.V.,ING BANK A.S.,Turkey,TR,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,INGBFRPP,ING BANK N.V.,ING BANK France,France,FR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,INGBCZPP,ING BANK N.V.,ING BANK N.V.,Czech Republic,CZ,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,INGBITMM,ING BANK N.V.,ING BANK N.V.,Italy,IT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,INGBNL2A,ING BANK N.V.,ING BANK N.V.,Netherlands,NL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,INGBSGSG,ING BANK N.V.,ING BANK N.V.,Singapore,SG,entry,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,INGBSKBX,ING BANK N.V.,ING BANK N.V.,Slovakia,SK,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,INGBHKHH,ING BANK N.V.,ING BANK N.V. HONG KONG,Hong Kong,HK,not certified,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,INGBHUHB,ING BANK N.V.,ING BANK N.V. HUNGARY BRANCH,Hungary,HU,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,INGBBGSF,ING BANK N.V.,ING BANK N.V. SOFIA BRANCH,Bulgaria,BG,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,INGBATWW,ING BANK N.V.,ING BANK N.V. VIENNA BRANCH,Austria,AT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,INGBROBU,ING BANK N.V.,"ING BANK N.V., BUCHAREST BRANCH",Romania,RO,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,INGBGB22,ING BANK N.V.,"ING BANK N.V., LONDON BRANCH",United Kingdom,GB,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,INGBIE2D,ING BANK N.V.,ING BANK NV-DUBLIN BRANCH,Ireland,IE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,INGBPLPW,ING BANK N.V.,ING BANK SLASKI SA,Poland,PL,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,INGBUAUK,ING BANK N.V.,ING BANK UKRAINE,Ukraine,UA,not certified,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,BBRUBEBB,ING BANK N.V.,ING BELGIUM NV/SA (FORMERLY BANK,Belgium,BE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,BBRUESMX,ING BANK N.V.,ING BELGIUM S.A. SUCURSAL EN ESPANA,Spain,ES,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,BBRUCHGT,ING BANK N.V.,"ING BELGIUM, BRUSSELS, GENEVA",Switzerland,CH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,CELLLULL,ING BANK N.V.,ING LUXEMBOURG S.A. (FORMERLY,Luxembourg,LU,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,VYSAINBB,ING BANK N.V.,ING VYSYA BANK LTD.,India,IN,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
INGBNL2A,INGBDEFF,ING BANK N.V.,ING-DIBA AG (COMMERCIAL BANKING),Germany,DE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,https://www.ingwb.com/online-applications/other/ing-service-for-swiftnet
IRVTUS3N,MELNUS3P,THE BANK OF NEW YORK MELLON,MELLON BANK N.A,United States,US,advanced,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,http://www.bnymellon.com/treasuryservices/swiftcorporateaccess.pdf
ISBKTRIS,ISBKTRIS,Turkiye Is Bankasi A.S.,Turkiye Is Bankasi A.S.,Turkey,TR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,http://www.isbank.com.tr/TR/ticari/e-cozumler/Sayfalar/e-cozumler.aspx ; isbankasinakityonetimi@isbank.com.tr,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,www.isbank.com.tr
JYBADKKK,JYBADKKK,Jyske Bank A/S,Jyske Bank A/S,Denmark,DK,not certified,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.jyskebank.dk/swiftscore
KASITHBK,KASITHBK,KASIKORNBANK PUBLIC COMPANY LIMITED,KASIKORNBANK PUBLIC COMPANY LIMITED,Thailand,TH,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,kbank101@kasikornbank.com,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
KASITHBK,KASIUS6L,KASIKORNBANK PUBLIC COMPANY LIMITED,KASIKORN BANK PLC ,United States,,,no,no,no,no,no,no,no,no,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
KASITHBK,KASIHKHH,KASIKORNBANK PUBLIC COMPANY LIMITED,KASIKORNBANK PUBLIC COMPANY LIMITED,Hong Kong,HK,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,kbank101@kasikornbank.com,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
KASITHBK,KASICNBS,KASIKORNBANK PUBLIC COMPANY LIMITED,"KASIKORNBANK PUBLIC COMPANY LIMITED, SHENZHEN BRANCH",China,CN,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,kbank101@kasikornbank.com,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
KASITHBK,KASILALA,KASIKORNBANK PUBLIC COMPANY LIMITED,KASIKORNTHAI BANK LIMITED,Laos,LA,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,kbank101@kasikornbank.com,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
KEYBUS33,KEYBUS33,KEYBANK NATIONAL ASSOCIATION,KEYBANK NATIONAL ASSOCIATION,United States,US,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,https://www.key.com/corporate/treasury-management/treasury-management.jsp
KOEXKRSE,HNBNKRSE,KEB HANA BANK,HANA BANK,Korea,KR,advanced,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,http://fx.keb.co.kr/jsp/cmn/cm/route.jsp?goURL=/FET1105N.web
KOEXKRSE,KOEXBRSP,KEB HANA BANK,BANCO KEB HANA DO BRASIL S.A.,Brazil,BR,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,jaeyoung.chung@hanafn.com,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
KOEXKRSE,KOEXCATT,KEB HANA BANK,KEB HANA BANK CANADA,Canada,CA,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,jaeyoung.chung@hanafn.com,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
KOEXKRSE,HNBNCNBJ,KEB HANA BANK,HANA BANK (CHINA) COMPANY LIMITED,China,CN,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,jaeyoung.chung@hanafn.com,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
KOEXKRSE,KOEXAEAD,KEB HANA BANK,KEB HANA BANK ABUDHABI BRANCH,United Arab Emirates,AE,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,jaeyoung.chung@hanafn.com,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
KREDBEBB,KREDBEBB,KBC Bank NV,KBC Bank NV,Belgium,BE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,S4C@kbc.be,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,https://www.kbc.be/corporate/en.html?zone=topnav
LOYDGB2L,LOYDGB2L,LLOYDS BANK PLC,LLOYDS BANK PLC,United Kingdom,GB,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,http://www.lloydsbankcommercial.com/Products-and-Services/Cash-Management/Online-Services/
MBBEMYKL,MBBEMYKL,MALAYAN BANKING BERHAD (MAYBANK),MALAYAN BANKING BERHAD (MAYBANK),Malaysia,MY,advanced,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.maybank2u.com.my/mbb_info/m2u/public/personalDetail04.do?cntTypeId=1&cntKey=HL12.10.02a&programId=HI-Highlights&newsCatId=/mbb/Highlights/2012&chCatId=/mbb/Personal
MBTCPHMM,MBTCPHMM,METROPOLITAN BANK & TRUST COMPANY,METROPOLITAN BANK & TRUST COMPANY,Philippines,PH,advanced,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
